Year,Name,Rate
2016,Ascension,72.6
2016,Caddo,72.6
2016,Calcasieu,64.2
2016,East Baton Rouge,49.2
2016,Iberville,70.9
2016,Jefferson,69.3
2016,Lafayette,53.2
2016,Ouachita,83.9
2016,Rapides,55.4
2016,St. Bernard,86.8
2016,Tangipahoa,66.5
2016,Terrebonne,73.7
2016,West Baton Rouge,73.1
