Year,Name,Rate
2015,Ascension,55.7
2015,Caddo,67.5
2015,Calcasieu,71.4
2015,East Baton Rouge,48.3
2015,Iberville,83
2015,Jefferson,62.6
2015,Lafayette,65.9
2015,Ouachita,81.9
2015,Rapides,62.8
2015,St. Bernard,114
2015,Tangipahoa,60.1
2015,Terrebonne,77
2015,West Baton Rouge,93.5
