Month,Year,Name,Mean
January,2015,Rapides,5.309090909
February,2015,Rapides,7.822222222
March,2015,Rapides,6.163636364
April,2015,Rapides,7.03
May,2015,Rapides,5.68
June,2015,Rapides,8.02
July,2015,Rapides,9.2
August,2015,Rapides,9.281818182
September,2015,Rapides,8.233333333
October,2015,Rapides,9.03
November,2015,Rapides,3.9625
December,2015,Rapides,5.777777778
January,2015,East Baton Rouge,9.338709677
February,2015,East Baton Rouge,9.828571429
March,2015,East Baton Rouge,7.633333333
April,2015,East Baton Rouge,7.054545455
May,2015,East Baton Rouge,7.623333333
June,2015,East Baton Rouge,9.185185185
July,2015,East Baton Rouge,9.151612903
August,2015,East Baton Rouge,11.1516129
September,2015,East Baton Rouge,9.126666667
October,2015,East Baton Rouge,11.43809524
November,2015,East Baton Rouge,7.220833333
December,2015,East Baton Rouge,8
January,2015,East Baton Rouge,13.7
February,2015,East Baton Rouge,20.65
March,2015,East Baton Rouge,8.933333333
April,2015,East Baton Rouge,11.5
May,2015,East Baton Rouge,10.83333333
June,2015,East Baton Rouge,15.15
July,2015,East Baton Rouge,20.8
August,2015,East Baton Rouge,13.9
September,2015,East Baton Rouge,9.433333333
October,2015,East Baton Rouge,11.1
November,2015,East Baton Rouge,6.6
December,2015,East Baton Rouge,9.1
January,2015,Iberville,7.614285714
February,2015,Iberville,8.2816
March,2015,Iberville,8.2816
April,2015,Iberville,8.2816
May,2015,Iberville,8.2816
June,2015,Iberville,8.2816
July,2015,Iberville,8.2816
August,2015,Iberville,8.2816
September,2015,Iberville,8.2816
October,2015,Iberville,8.2816
November,2015,Iberville,8.2816
December,2015,Iberville,8.2816
January,2015,St. Bernard,9.7
February,2015,St. Bernard,11.425
March,2015,St. Bernard,7.525
April,2015,St. Bernard,9.366666667
May,2015,St. Bernard,10.64
June,2015,St. Bernard,15.1
July,2015,St. Bernard,10.6
August,2015,St. Bernard,9.22
September,2015,St. Bernard,6
October,2015,St. Bernard,9.28
November,2015,St. Bernard,4.88
December,2015,St. Bernard,7.3
January,2015,Ascension,9.0875
February,2015,Ascension,11.35
March,2015,Ascension,6.653846154
April,2015,Ascension,7.654545455
May,2015,Ascension,6.9
June,2015,Ascension,9.822222222
July,2015,Ascension,8.833333333
August,2015,Ascension,8.763636364
September,2015,Ascension,7.74
October,2015,Ascension,8.53
November,2015,Ascension,5.43
December,2015,Ascension,7.688888889
January,2015,Tangipahoa,8.011111111
February,2015,Tangipahoa,8.6
March,2015,Tangipahoa,6.763636364
April,2015,Tangipahoa,6.555555556
May,2015,Tangipahoa,6.23
June,2015,Tangipahoa,8.1
July,2015,Tangipahoa,9.09
August,2015,Tangipahoa,8.681818182
September,2015,Tangipahoa,7.01
October,2015,Tangipahoa,9.8
November,2015,Tangipahoa,4.566666667
December,2015,Tangipahoa,5.25
January,2015,Tangipahoa,7.2
February,2015,Tangipahoa,9.45
March,2015,Tangipahoa,5.55
April,2015,Tangipahoa,7.85
May,2015,Tangipahoa,6.16
June,2015,Tangipahoa,9
