Year,Name,Rate
2012,Ascension,61
2012,Caddo,72.7
2012,Calcasieu,66
2012,East Baton Rouge,54.8
2012,Iberville,98.1
2012,Jefferson,59.7
2012,Lafayette,78.3
2012,Ouachita,76.6
2012,Rapides,79.9
2012,St. Bernard,104.3
2012,Tangipahoa,65.4
2012,Terrebonne,90.7
2012,West Baton Rouge,82.6
