Month,Year,Name,Mean
January,2016,Rapides,7.07
February,2016,Rapides,7.3
March,2016,Rapides,8.027272727
April,2016,Rapides,6.68
May,2016,Rapides,7.471428571
June,2016,Rapides,7.309090909
July,2016,Rapides,8.82
August,2016,Rapides,8.645454545
September,2016,Rapides,8.71
October,2016,Rapides,8.866666667
November,2016,Rapides,8.05
December,2016,Rapides,8.2816
January,2016,East Baton Rouge,7.106451613
February,2016,East Baton Rouge,7.830769231
March,2016,East Baton Rouge,8.442857143
April,2016,East Baton Rouge,8.127272727
May,2016,East Baton Rouge,8.585714286
June,2016,East Baton Rouge,11.172
July,2016,East Baton Rouge,10.10322581
August,2016,East Baton Rouge,9.766666667
September,2016,East Baton Rouge,11.45384615
October,2016,East Baton Rouge,17.62903226
November,2016,East Baton Rouge,10.13
December,2016,East Baton Rouge,8.003225806
January,2016,East Baton Rouge,8.066666667
February,2016,East Baton Rouge,10.15
March,2016,East Baton Rouge,9.933333333
April,2016,East Baton Rouge,7.566666667
May,2016,East Baton Rouge,11.4
June,2016,East Baton Rouge,10.92
July,2016,East Baton Rouge,13.5
August,2016,East Baton Rouge,7.333333333
September,2016,East Baton Rouge,13.2
October,2016,East Baton Rouge,11
November,2016,East Baton Rouge,5.3
December,2016,East Baton Rouge,8.3
January,2016,Iberville,7.616666667
February,2016,Iberville,6.325
March,2016,Iberville,12.13333333
April,2016,Iberville,7.633333333
May,2016,Iberville,6.8
June,2016,Iberville,7.75
July,2016,Iberville,8.84
August,2016,Iberville,7.22
September,2016,Iberville,9.06
October,2016,Iberville,6.9
November,2016,Iberville,10.025
December,2016,Iberville,7
January,2016,St. Bernard,6.854545455
February,2016,St. Bernard,7.055555556
March,2016,St. Bernard,8.072727273
April,2016,St. Bernard,7.466666667
May,2016,St. Bernard,8.909090909
June,2016,St. Bernard,8.27
July,2016,St. Bernard,9.544444444
August,2016,St. Bernard,7.885714286
September,2016,St. Bernard,8.141666667
October,2016,St. Bernard,9.1
November,2016,St. Bernard,10.14
December,2016,St. Bernard,7.8
January,2016,Ascension,4.7125
February,2016,Ascension,5.177777778
March,2016,Ascension,7.990909091
April,2016,Ascension,6.25
May,2016,Ascension,7.03
June,2016,Ascension,7.58
July,2016,Ascension,8.58
August,2016,Ascension,6.536363636
September,2016,Ascension,7.87
October,2016,Ascension,7.233333333
November,2016,Ascension,7.15
December,2016,Ascension,8.46
January,2016,Tangipahoa,4.55
February,2016,Tangipahoa,5.5
