Year,Name,Rate
2014,Ascension,69.2
2014,Caddo,78.3
2014,Calcasieu,62.4
2014,East Baton Rouge,52.7
2014,Iberville,91.9
2014,Jefferson,66.5
2014,Lafayette,67.1
2014,Ouachita,74.7
2014,Rapides,65.4
2014,St. Bernard,91
2014,Tangipahoa,60
2014,Terrebonne,84
2014,West Baton Rouge,84.3
