Month,Year,Name,Mean
January,2017,Rapides,5.16
February,2017,Rapides,6.728571429
March,2017,Rapides,9
April,2017,Rapides,8.685714286
May,2017,Rapides,7.436363636
June,2017,Rapides,7.63
July,2017,Rapides,8
August,2017,Rapides,9.14
September,2017,Rapides,10.39090909
October,2017,Rapides,9
November,2017,Rapides,7.855555556
December,2017,Rapides,6.772727273
January,2017,East Baton Rouge,6.520833333
February,2017,East Baton Rouge,8.014285714
March,2017,East Baton Rouge,8.186666667
April,2017,East Baton Rouge,9.868965517
May,2017,East Baton Rouge,7.286666667
June,2017,East Baton Rouge,6.089655172
July,2017,East Baton Rouge,7.232258065
August,2017,East Baton Rouge,6.7
September,2017,East Baton Rouge,8.433333333
October,2017,East Baton Rouge,5.796153846
November,2017,East Baton Rouge,8.304
December,2017,East Baton Rouge,7.955
January,2017,East Baton Rouge,7.6
February,2017,East Baton Rouge,10.2
March,2017,East Baton Rouge,5.15
April,2017,East Baton Rouge,7.1
May,2017,East Baton Rouge,9.8
June,2017,East Baton Rouge,7.1
July,2017,East Baton Rouge,7.733333333
August,2017,East Baton Rouge,12.7
September,2017,East Baton Rouge,12.3
October,2017,East Baton Rouge,6.7
November,2017,East Baton Rouge,9.2
December,2017,East Baton Rouge,12.16666667
January,2017,Iberville,6.109090909
February,2017,Iberville,7.088888889
March,2017,Iberville,7.66
April,2017,Iberville,9.62
May,2017,Iberville,8.881818182
June,2017,Iberville,9.14
July,2017,Iberville,9.34
August,2017,Iberville,8.38
September,2017,Iberville,9.23
October,2017,Iberville,7.009090909
November,2017,Iberville,7.24
December,2017,Iberville,7.26
January,2017,St. Bernard,6.55
February,2017,St. Bernard,8.575
March,2017,St. Bernard,7.08
April,2017,St. Bernard,9.92
May,2017,St. Bernard,7.883333333
June,2017,St. Bernard,11.425
July,2017,St. Bernard,8.24
August,2017,St. Bernard,7.05
September,2017,St. Bernard,9.52
October,2017,St. Bernard,6.6
November,2017,St. Bernard,6.2
December,2017,St. Bernard,9.975
January,2017,Ascension,4.581818182
February,2017,Ascension,6.244444444
March,2017,Ascension,7.65
April,2017,Ascension,7.32
May,2017,Ascension,8.263636364
June,2017,Ascension,10.61666667
July,2017,Ascension,9.32
August,2017,Ascension,9.85
September,2017,Ascension,10.7125
October,2017,Ascension,7.763636364
November,2017,Ascension,9.12
December,2017,Ascension,7.7
January,2017,Tangipahoa,6.222222222
February,2017,Tangipahoa,7.988888889
March,2017,Tangipahoa,7.29
April,2017,Tangipahoa,9.544444444
May,2017,Tangipahoa,7.97
June,2017,Tangipahoa,7.73
July,2017,Tangipahoa,9.36
August,2017,Tangipahoa,8.46
September,2017,Tangipahoa,8.78
October,2017,Tangipahoa,8.84
November,2017,Tangipahoa,7.9875
December,2017,Tangipahoa,6.311111111
January,2017,Tangipahoa,4.65
February,2017,Tangipahoa,4.875
March,2017,Tangipahoa,7.76
April,2017,Tangipahoa,11.18
May,2017,Tangipahoa,8.85
