Year,Name,Rate
2018,Ascension,65.4
2018,Caddo,63.6
2018,Calcasieu,65.2
2018,East Baton Rouge,48.5
2018,Iberville,57
2018,Jefferson,51.6
2018,Lafayette,50.3
2018,Ouachita,61.6
2018,Rapides,48.7
2018,St. Bernard,54.6
2018,Tangipahoa,66.8
2018,Terrebonne,76.4
2018,West Baton Rouge,60.4
