Month,Year,Name,Mean
January,2019,Rapides,4.58
February,2019,Rapides,5.411111111
March,2019,Rapides,7.4
April,2019,Rapides,7.622222222
May,2019,Rapides,8.33
June,2019,Rapides,10.21111111
July,2019,Rapides,8.5
August,2019,Rapides,8.963636364
September,2019,Rapides,8.63
October,2019,Rapides,7.04
November,2019,Rapides,7.99
December,2019,Rapides,5.55
January,2019,East Baton Rouge,6.86
February,2019,East Baton Rouge,7.114285714
March,2019,East Baton Rouge,8.461290323
April,2019,East Baton Rouge,7.175862069
May,2019,East Baton Rouge,8.816129032
June,2019,East Baton Rouge,13.88666667
July,2019,East Baton Rouge,12.13548387
August,2019,East Baton Rouge,10.23666667
September,2019,East Baton Rouge,12.37272727
October,2019,East Baton Rouge,7.416666667
November,2019,East Baton Rouge,10.15666667
December,2019,East Baton Rouge,7.2
January,2019,East Baton Rouge,4.7
February,2019,East Baton Rouge,10.73333333
March,2019,East Baton Rouge,9.775
April,2019,East Baton Rouge,7.5
May,2019,East Baton Rouge,8.75
June,2019,East Baton Rouge,12.7
July,2019,East Baton Rouge,10.36666667
August,2019,East Baton Rouge,7.82
September,2019,East Baton Rouge,12.83333333
October,2019,East Baton Rouge,6
November,2019,East Baton Rouge,12.5
December,2019,East Baton Rouge,4.5
January,2019,Iberville,6.47
February,2019,Iberville,7.544444444
March,2019,Iberville,7.281818182
April,2019,Iberville,7.31
May,2019,Iberville,8.25
June,2019,Iberville,10.84
July,2019,Iberville,9.43
August,2019,Iberville,7.772727273
September,2019,Iberville,8.7
October,2019,Iberville,6.29
November,2019,Iberville,8.09
December,2019,Iberville,6.23
January,2019,St. Bernard,4.84
February,2019,St. Bernard,8.48
March,2019,St. Bernard,7.34
April,2019,St. Bernard,6.82
May,2019,St. Bernard,7.533333333
June,2019,St. Bernard,11.86
July,2019,St. Bernard,8.38
August,2019,St. Bernard,8.283333333
September,2019,St. Bernard,8.84
October,2019,St. Bernard,6.46
November,2019,St. Bernard,9.06
December,2019,St. Bernard,4.44
January,2019,Ascension,5.86
February,2019,Ascension,7.466666667
March,2019,Ascension,7.409090909
April,2019,Ascension,7.38
May,2019,Ascension,8.65
June,2019,Ascension,11.6
July,2019,Ascension,9.9
August,2019,Ascension,8.591666667
September,2019,Ascension,10.38
October,2019,Ascension,6.9
November,2019,Ascension,9.581818182
December,2019,Ascension,7.44
January,2019,Tangipahoa,4.827272727
February,2019,Tangipahoa,6.644444444
March,2019,Tangipahoa,7.266666667
April,2019,Tangipahoa,6.15
May,2019,Tangipahoa,7.5
June,2019,Tangipahoa,10.18888889
July,2019,Tangipahoa,9.622222222
August,2019,Tangipahoa,8.509090909
September,2019,Tangipahoa,9.16
October,2019,Tangipahoa,6.533333333
November,2019,Tangipahoa,8.388888889
December,2019,Tangipahoa,5.94
January,2019,Tangipahoa,4.28
February,2019,Tangipahoa,7.575
March,2019,Tangipahoa,7.5
April,2019,Tangipahoa,6.36
May,2019,Tangipahoa,7.58
June,2019,Tangipahoa,9.54
July,2019,Tangipahoa,9.08
August,2019,Tangipahoa,7.233333333
September,2019,Tangipahoa,8.2
October,2019,Tangipahoa,5.56
November,2019,Tangipahoa,8.86
December,2019,Tangipahoa,3.82
January,2019,Terrebonne,5.58
February,2019,Terrebonne,6.788888889
March,2019,Terrebonne,6.309090909
April,2019,Terrebonne,6.75
May,2019,Terrebonne,7.67
June,2019,Terrebonne,11.25
July,2019,Terrebonne,7.71
August,2019,Terrebonne,6.9
September,2019,Terrebonne,9.73
October,2019,Terrebonne,6.122222222
November,2019,Terrebonne,8.37
December,2019,Terrebonne,6.5
January,2019,Jefferson,4.26
February,2019,Jefferson,8.38
March,2019,Jefferson,6.96
April,2019,Jefferson,5.94
May,2019,Jefferson,8
June,2019,Jefferson,11.8
July,2019,Jefferson,8.22
August,2019,Jefferson,7.15
September,2019,Jefferson,8.3
October,2019,Jefferson,4.88
November,2019,Jefferson,7.94
December,2019,Jefferson,4.1
January,2019,Lafayette,5.93
February,2019,Lafayette,7.222222222
March,2019,Lafayette,7.5
April,2019,Lafayette,7.47
May,2019,Lafayette,7.91
June,2019,Lafayette,10.56
July,2019,Lafayette,9.21
August,2019,Lafayette,7.909090909
September,2019,Lafayette,8.61
October,2019,Lafayette,6.5
November,2019,Lafayette,8.77
December,2019,Lafayette,7.83
January,2019,Calcasieu,6.47
February,2019,Calcasieu,7.544444444
March,2019,Calcasieu,7.281818182
April,2019,Calcasieu,7.31
May,2019,Calcasieu,8.25
June,2019,Calcasieu,10.84
July,2019,Calcasieu,9.43
August,2019,Calcasieu,7.772727273
September,2019,Calcasieu,8.7
October,2019,Calcasieu,6.29
November,2019,Calcasieu,8.09
December,2019,Calcasieu,6.23
January,2019,Jefferson,5.454545455
February,2019,Jefferson,6.981818182
March,2019,Jefferson,7.027272727
April,2019,Jefferson,6.87
May,2019,Jefferson,7.9
June,2019,Jefferson,10.83
July,2019,Jefferson,9.066666667
August,2019,Jefferson,7.669230769
September,2019,Jefferson,8.96
October,2019,Jefferson,6.6875
November,2019,Jefferson,9.025
December,2019,Jefferson,6.44
January,2019,Ouachita,5.42
February,2019,Ouachita,5.566666667
March,2019,Ouachita,5.636363636
April,2019,Ouachita,6.3
May,2019,Ouachita,7.69
June,2019,Ouachita,8.59
July,2019,Ouachita,9.63
August,2019,Ouachita,8.690909091
September,2019,Ouachita,9.26
October,2019,Ouachita,5.566666667
November,2019,Ouachita,8.18
December,2019,Ouachita,6.15
January,2019,West Baton Rouge,6.625806452
February,2019,West Baton Rouge,7.614285714
March,2019,West Baton Rouge,8.993548387
April,2019,West Baton Rouge,7.52
May,2019,West Baton Rouge,9.238709677
June,2019,West Baton Rouge,12.49655172
July,2019,West Baton Rouge,10.09354839
August,2019,West Baton Rouge,9.306666667
September,2019,West Baton Rouge,10.64333333
October,2019,West Baton Rouge,7.175
November,2019,West Baton Rouge,9.896551724
December,2019,West Baton Rouge,7.411538462
January,2019,Caddo,7.033333333
February,2019,Caddo,8.733333333
March,2019,Caddo,7.883333333
April,2019,Caddo,10.26
May,2019,Caddo,11.17
June,2019,Caddo,12.71111111
July,2019,Caddo,11.57
August,2019,Caddo,13.32727273
September,2019,Caddo,12.82
October,2019,Caddo,10.35555556
November,2019,Caddo,12.24
December,2019,Caddo,10.15
January,2019,Caddo,7
February,2019,Caddo,9.525
March,2019,Caddo,9.3
April,2019,Caddo,10.4
May,2019,Caddo,10.4
June,2019,Caddo,15.7
July,2019,Caddo,13.45
August,2019,Caddo,9.566666667
September,2019,Caddo,14.2
October,2019,Caddo,6.533333333
November,2019,Caddo,15.46666667
December,2019,Caddo,8.3
January,2019,Calcasieu,4.51
February,2019,Calcasieu,5.557142857
March,2019,Calcasieu,7.1
April,2019,Calcasieu,5.86
