Month,Year,Name,Mean
January,2018,Rapides,6.31
February,2018,Rapides,6.075
March,2018,Rapides,7.98
April,2018,Rapides,7.73
May,2018,Rapides,8.94
June,2018,Rapides,9.14
July,2018,Rapides,16.52
August,2018,Rapides,10.92
September,2018,Rapides,5.99
October,2018,Rapides,6.05
November,2018,Rapides,6.01
December,2018,Rapides,6.790909091
January,2018,East Baton Rouge,8.1625
February,2018,East Baton Rouge,6.670833333
March,2018,East Baton Rouge,9.05
April,2018,East Baton Rouge,8.4
May,2018,East Baton Rouge,10.76774194
June,2018,East Baton Rouge,11.29333333
July,2018,East Baton Rouge,15.8483871
August,2018,East Baton Rouge,11.44193548
September,2018,East Baton Rouge,7.01
October,2018,East Baton Rouge,8.228
November,2018,East Baton Rouge,8.766666667
December,2018,East Baton Rouge,7.561538462
January,2018,East Baton Rouge,7.325
February,2018,East Baton Rouge,7.125
March,2018,East Baton Rouge,8.575
April,2018,East Baton Rouge,8.2
May,2018,East Baton Rouge,11.55
June,2018,East Baton Rouge,11.25
July,2018,East Baton Rouge,7.8
August,2018,East Baton Rouge,4.3
September,2018,East Baton Rouge,4.28
October,2018,East Baton Rouge,7.525
November,2018,East Baton Rouge,8.171428571
December,2018,East Baton Rouge,4.825
January,2018,Iberville,6.65
February,2018,Iberville,6.3
March,2018,Iberville,7.977777778
April,2018,Iberville,6.86
May,2018,Iberville,9.79
June,2018,Iberville,10.4
July,2018,Iberville,12.73636364
August,2018,Iberville,10.78888889
September,2018,Iberville,6.54
October,2018,Iberville,6.966666667
November,2018,Iberville,8.02
December,2018,Iberville,6.854545455
January,2018,St. Bernard,6.52
February,2018,St. Bernard,5.8
March,2018,St. Bernard,10.54285714
April,2018,St. Bernard,6.78
May,2018,St. Bernard,9.74
June,2018,St. Bernard,10.11666667
July,2018,St. Bernard,12.06666667
August,2018,St. Bernard,11.06
September,2018,St. Bernard,5.96
October,2018,St. Bernard,7.06
November,2018,St. Bernard,7.36
December,2018,St. Bernard,7.96
January,2018,Ascension,11.19
February,2018,Ascension,6.63
March,2018,Ascension,7.97
April,2018,Ascension,8.65
May,2018,Ascension,10.11
June,2018,Ascension,9.83
July,2018,Ascension,13.67
August,2018,Ascension,10.35
September,2018,Ascension,7.4
October,2018,Ascension,6.8
November,2018,Ascension,8.59
December,2018,Ascension,6.18
January,2018,Tangipahoa,4.74
February,2018,Tangipahoa,4.91
March,2018,Tangipahoa,6.59
April,2018,Tangipahoa,7.25
May,2018,Tangipahoa,9.79
June,2018,Tangipahoa,9.62
July,2018,Tangipahoa,11.6
August,2018,Tangipahoa,5.672727273
September,2018,Tangipahoa,4.81
October,2018,Tangipahoa,6.27
November,2018,Tangipahoa,6.96
December,2018,Tangipahoa,5.990909091
January,2018,Tangipahoa,5.76
February,2018,Tangipahoa,4.78
March,2018,Tangipahoa,8.766666667
April,2018,Tangipahoa,6.36
May,2018,Tangipahoa,10.14
June,2018,Tangipahoa,9.46
July,2018,Tangipahoa,11.58333333
August,2018,Tangipahoa,10.08
September,2018,Tangipahoa,6.36
October,2018,Tangipahoa,6.16
November,2018,Tangipahoa,8.68
December,2018,Tangipahoa,5.22
January,2018,Terrebonne,5.777777778
February,2018,Terrebonne,5.86
March,2018,Terrebonne,7.88
April,2018,Terrebonne,6.690909091
May,2018,Terrebonne,8.91
June,2018,Terrebonne,8.033333333
July,2018,Terrebonne,11.62222222
August,2018,Terrebonne,8.290909091
September,2018,Terrebonne,5.47
October,2018,Terrebonne,6.74
November,2018,Terrebonne,6.56
December,2018,Terrebonne,5.45
January,2018,Jefferson,6.98
February,2018,Jefferson,4.74
March,2018,Jefferson,8.22
April,2018,Jefferson,7.06
May,2018,Jefferson,10.04
June,2018,Jefferson,10.46
July,2018,Jefferson,13.02
August,2018,Jefferson,11.22
September,2018,Jefferson,5.86
October,2018,Jefferson,7.1
November,2018,Jefferson,7.24
December,2018,Jefferson,4.22
January,2018,Lafayette,7.977777778
February,2018,Lafayette,7.82
March,2018,Lafayette,8.22
April,2018,Lafayette,7.83
May,2018,Lafayette,9.08
June,2018,Lafayette,9.25
July,2018,Lafayette,14.21818182
August,2018,Lafayette,9.96
September,2018,Lafayette,5.7
October,2018,Lafayette,6.16
November,2018,Lafayette,7.74
December,2018,Lafayette,6.636363636
January,2018,Calcasieu,6.65
February,2018,Calcasieu,6.3
March,2018,Calcasieu,7.977777778
April,2018,Calcasieu,6.86
May,2018,Calcasieu,9.79
June,2018,Calcasieu,10.4
July,2018,Calcasieu,12.73636364
August,2018,Calcasieu,10.78888889
September,2018,Calcasieu,6.54
October,2018,Calcasieu,6.966666667
November,2018,Calcasieu,8.02
December,2018,Calcasieu,6.854545455
January,2018,Jefferson,6.441666667
February,2018,Jefferson,5.2
March,2018,Jefferson,7.75
April,2018,Jefferson,6.97
May,2018,Jefferson,9.14
June,2018,Jefferson,9.9875
July,2018,Jefferson,12.65454545
August,2018,Jefferson,8.77
September,2018,Jefferson,5.74
October,2018,Jefferson,6.64
November,2018,Jefferson,7.21
December,2018,Jefferson,6.87
January,2018,Ouachita,5.38
February,2018,Ouachita,6
March,2018,Ouachita,6.83
April,2018,Ouachita,7.37
May,2018,Ouachita,9.33
June,2018,Ouachita,9.42
July,2018,Ouachita,15.37272727
August,2018,Ouachita,10.69
September,2018,Ouachita,6.69
October,2018,Ouachita,5.28
November,2018,Ouachita,5.7
December,2018,Ouachita,5.790909091
January,2018,West Baton Rouge,7.3
February,2018,West Baton Rouge,7.296428571
March,2018,West Baton Rouge,8.974193548
April,2018,West Baton Rouge,8.616666667
May,2018,West Baton Rouge,10.77741935
June,2018,West Baton Rouge,10.99333333
July,2018,West Baton Rouge,14.9483871
August,2018,West Baton Rouge,11.53870968
September,2018,West Baton Rouge,7.233333333
October,2018,West Baton Rouge,7.935483871
November,2018,West Baton Rouge,9.062068966
December,2018,West Baton Rouge,7.022580645
January,2018,Caddo,9.82
February,2018,Caddo,7.477777778
March,2018,Caddo,11.52857143
April,2018,Caddo,8.863636364
May,2018,Caddo,10.33
June,2018,Caddo,13.81
July,2018,Caddo,20.03636364
August,2018,Caddo,11.23333333
September,2018,Caddo,9.385714286
October,2018,Caddo,8.36
November,2018,Caddo,8.62
December,2018,Caddo,7.181818182
January,2018,Caddo,3
February,2018,Caddo,5.5
March,2018,Caddo,11.33333333
April,2018,Caddo,6.1
May,2018,Caddo,10.43333333
June,2018,Caddo,15.05
July,2018,Caddo,24.13333333
August,2018,Caddo,10.13333333
September,2018,Caddo,4.8
October,2018,Caddo,10.4
November,2018,Caddo,10.26666667
December,2018,Caddo,5.7
January,2018,Calcasieu,5.39
February,2018,Calcasieu,7.354545455
March,2018,Calcasieu,8.127272727
April,2018,Calcasieu,7.633333333
May,2018,Calcasieu,9.222222222
June,2018,Calcasieu,12.29
July,2018,Calcasieu,14.19090909
August,2018,Calcasieu,9.37
September,2018,Calcasieu,5.67
October,2018,Calcasieu,4.98
November,2018,Calcasieu,5.99
December,2018,Calcasieu,4.990909091
