Month,Year,Name,Mean
January,2020,Rapides,5.690909091
February,2020,Rapides,4.244444444
March,2020,Rapides,7
April,2020,Rapides,7.99
May,2020,Rapides,5.26
June,2020,Rapides,10.66
July,2020,Rapides,10.01
August,2020,Rapides,8.87
September,2020,Rapides,7.62
October,2020,Rapides,7.6
November,2020,Rapides,6.96
December,2020,Rapides,5.32
January,2020,East Baton Rouge,6.555555556
February,2020,East Baton Rouge,6.110344828
March,2020,East Baton Rouge,8.009677419
April,2020,East Baton Rouge,8.247826087
May,2020,East Baton Rouge,7.470967742
June,2020,East Baton Rouge,10.81
July,2020,East Baton Rouge,10.28064516
August,2020,East Baton Rouge,8.353571429
September,2020,East Baton Rouge,8.51
October,2020,East Baton Rouge,7.967741935
November,2020,East Baton Rouge,7.923333333
December,2020,East Baton Rouge,7.880769231
January,2020,East Baton Rouge,6.35
February,2020,East Baton Rouge,8.9
March,2020,East Baton Rouge,8.64
April,2020,East Baton Rouge,6.3
May,2020,East Baton Rouge,7.1
June,2020,East Baton Rouge,9.4
July,2020,East Baton Rouge,10.43333333
August,2020,East Baton Rouge,11.23333333
September,2020,East Baton Rouge,4
October,2020,East Baton Rouge,6.8
November,2020,East Baton Rouge,7.5
December,2020,East Baton Rouge,7.25
January,2020,Iberville,7
February,2020,Iberville,4.8
March,2020,Iberville,7.545454545
April,2020,Iberville,8.09
May,2020,Iberville,5.94
June,2020,Iberville,8.61
July,2020,Iberville,9.508333333
August,2020,Iberville,9.990909091
September,2020,Iberville,6.71
October,2020,Iberville,7.8
November,2020,Iberville,8.03
December,2020,Iberville,5.6
January,2020,St. Bernard,6.733333333
February,2020,St. Bernard,4.92
March,2020,St. Bernard,10.34
April,2020,St. Bernard,8.18
May,2020,St. Bernard,7.82
June,2020,St. Bernard,9.28
July,2020,St. Bernard,10.68
August,2020,St. Bernard,9.233333333
September,2020,St. Bernard,6.98
October,2020,St. Bernard,7.75
November,2020,St. Bernard,6.933333333
December,2020,St. Bernard,5.9
January,2020,Ascension,7.254545455
February,2020,Ascension,4.722222222
March,2020,Ascension,7.490909091
April,2020,Ascension,9.98
May,2020,Ascension,5.66
June,2020,Ascension,7.75
July,2020,Ascension,6.866666667
August,2020,Ascension,10.29090909
September,2020,Ascension,7.49
October,2020,Ascension,8.41
November,2020,Ascension,6.2375
December,2020,Ascension,6.98
January,2020,Tangipahoa,6.2
February,2020,Tangipahoa,4.2625
March,2020,Tangipahoa,7.71
April,2020,Tangipahoa,8.33
May,2020,Tangipahoa,6.422222222
June,2020,Tangipahoa,8.23
July,2020,Tangipahoa,8.444444444
August,2020,Tangipahoa,9.4
September,2020,Tangipahoa,6.72
October,2020,Tangipahoa,8.13
November,2020,Tangipahoa,6.65
December,2020,Tangipahoa,5.4625
January,2020,Tangipahoa,6.38
February,2020,Tangipahoa,4.425
March,2020,Tangipahoa,8.075
April,2020,Tangipahoa,8.34
May,2020,Tangipahoa,5.68
June,2020,Tangipahoa,11.74
July,2020,Tangipahoa,7.575
August,2020,Tangipahoa,8.133333333
September,2020,Tangipahoa,7.3
October,2020,Tangipahoa,10.2
November,2020,Tangipahoa,7
December,2020,Tangipahoa,5.76
January,2020,Terrebonne,7.045454545
February,2020,Terrebonne,4.688888889
March,2020,Terrebonne,7.8
April,2020,Terrebonne,6.18
May,2020,Terrebonne,5.27
June,2020,Terrebonne,8.48
July,2020,Terrebonne,9.81
August,2020,Terrebonne,9.836363636
September,2020,Terrebonne,6.62
October,2020,Terrebonne,8.89
November,2020,Terrebonne,7.57
December,2020,Terrebonne,6.255555556
January,2020,Jefferson,6.16
February,2020,Jefferson,4.44
March,2020,Jefferson,9.28
April,2020,Jefferson,7.36
May,2020,Jefferson,5.275
June,2020,Jefferson,10.575
July,2020,Jefferson,10.08
August,2020,Jefferson,8.616666667
September,2020,Jefferson,6.42
October,2020,Jefferson,6.9
November,2020,Jefferson,6.3
December,2020,Jefferson,5.82
