Month,Year,Name,Mean
January,2020,Lafayette,9
February,2020,Lafayette,4.566666667
March,2020,Lafayette,7.645454545
April,2020,Lafayette,8.76
May,2020,Lafayette,5.4
June,2020,Lafayette,9.86
July,2020,Lafayette,10.66
August,2020,Lafayette,8.472727273
September,2020,Lafayette,7.28
October,2020,Lafayette,9.177777778
November,2020,Lafayette,8.94
December,2020,Lafayette,8.1
January,2020,Calcasieu,8.072727273
February,2020,Calcasieu,5.5375
March,2020,Calcasieu,8.354545455
April,2020,Calcasieu,7.988888889
May,2020,Calcasieu,6.233333333
June,2020,Calcasieu,8.62
July,2020,Calcasieu,10.56363636
August,2020,Calcasieu,9.636363636
September,2020,Calcasieu,7.02
October,2020,Calcasieu,7.63
November,2020,Calcasieu,6.73
December,2020,Calcasieu,6.4125
January,2020,Jefferson,7.523076923
February,2020,Jefferson,5.133333333
March,2020,Jefferson,7.954545455
April,2020,Jefferson,8.94
May,2020,Jefferson,5.93
June,2020,Jefferson,8.73
July,2020,Jefferson,10.67272727
August,2020,Jefferson,9.872727273
September,2020,Jefferson,7.14
October,2020,Jefferson,8.466666667
November,2020,Jefferson,8.785714286
December,2020,Jefferson,5.75
January,2020,Ouachita,5.972727273
February,2020,Ouachita,3.811111111
March,2020,Ouachita,5.981818182
April,2020,Ouachita,6.766666667
May,2020,Ouachita,5.42
June,2020,Ouachita,10.7
July,2020,Ouachita,9.24
August,2020,Ouachita,9.190909091
September,2020,Ouachita,9.07
October,2020,Ouachita,7.66
November,2020,Ouachita,6.97
December,2020,Ouachita,6.5125
January,2020,West Baton Rouge,6.462068966
February,2020,West Baton Rouge,6.277777778
March,2020,West Baton Rouge,8.536666667
April,2020,West Baton Rouge,9.52
May,2020,West Baton Rouge,8.142307692
June,2020,West Baton Rouge,10.19666667
July,2020,West Baton Rouge,10.62903226
August,2020,West Baton Rouge,9.883333333
September,2020,West Baton Rouge,9.303333333
October,2020,West Baton Rouge,8.348387097
November,2020,West Baton Rouge,7.975862069
December,2020,West Baton Rouge,6.9
January,2020,Caddo,8.418181818
February,2020,Caddo,6.266666667
March,2020,Caddo,9.416666667
April,2020,Caddo,8.61
May,2020,Caddo,6.74
June,2020,Caddo,14.65
July,2020,Caddo,12.28
August,2020,Caddo,11.9
September,2020,Caddo,9.3375
October,2020,Caddo,8.95
November,2020,Caddo,8.16
December,2020,Caddo,9.14
January,2020,Caddo,6.833333333
February,2020,Caddo,6.5
March,2020,Caddo,8.6
April,2020,Caddo,11.1
May,2020,Caddo,5.6
June,2020,Caddo,9.466666667
July,2020,Caddo,17.875
August,2020,Caddo,12.7
September,2020,Caddo,8.4
October,2020,Caddo,9.5
November,2020,Caddo,5
December,2020,Caddo,9.1
January,2020,Calcasieu,5.527272727
February,2020,Calcasieu,4.177777778
March,2020,Calcasieu,7.781818182
April,2020,Calcasieu,8.18
May,2020,Calcasieu,5.31
June,2020,Calcasieu,11.52
July,2020,Calcasieu,10.77
August,2020,Calcasieu,8.488888889
September,2020,Calcasieu,8.1
October,2020,Calcasieu,7.89
November,2020,Calcasieu,6.95
December,2020,Calcasieu,4.67
